JobTitle,JobSubCategories,Clean_Job_title
Gebäudetechnikplaner Fachrichtung Lüftung 100%,tech.89.100,Gebäudetechnikplaner Fachrichtung Lüftung 
Gebäudetechnikplaner / in Lüftung,tech.89.100,Gebäudetechnikplaner in Lüftung
Gebäudetechnikplaner/in Sanitär,tech.89.97,Gebäudetechnikplaner Sanitär
Gebäudetechnikplaner/In Lüftung (100%),tech.89.100,Gebäudetechnikplaner Lüftung 
Gebäudetechnikplaner/In Sanitär (100%),tech.89.97,Gebäudetechnikplaner Sanitär 
GebäudetechnikplanerIn Fachrichtung Lüftung / Klima,tech.89.100,GebäudetechnikplanerIn Fachrichtung Lüftung Klima
Haustechnikplaner/In,tech.89.100,Haustechnikplaner
Gebäudetechnikplaner Sanitär,tech.89.97,Gebäudetechnikplaner Sanitär
Lehrstelle als Gebäudetechnikplaner/in Fachrichtung Lüftung,tech.89.100,Lehrstelle als Gebäudetechnikplaner Fachrichtung Lüftung
Lehrstelle als Gebäudetechnikplaner/in Sanitär EFZ,tech.89.97,Lehrstelle als Gebäudetechnikplaner Sanitär EFZ
Gebäudetechnikplaner/in Lüftung 50-100%,tech.89.100,Gebäudetechnikplaner Lüftung 
Berufslehre als Gebäudetechnikplaner/in EFZ,tech.89.100,Berufslehre als Gebäudetechnikplaner EFZ
Projektleiter Heizung (m/w) - Pensum 100 %,tech.89.100,Projektleiter Heizung Pensum 
Gebäudetechnikplaner:in Heizung oder Lüftung,tech.89.100,Gebäudetechnikplaner Heizung oder Lüftung
Haustechnikplanung Heizung/Kälte (80 - 100 %),tech.89.100,Haustechnikplanung HeizungKälte 
Haustechnikplanung Lüftung (80 - 100 %),tech.89.100,Haustechnikplanung Lüftung 
GebäudetechnikplanerIn (Lüftung) als SachbearbeiterIn in Solothurn,tech.89.100,GebäudetechnikplanerIn Lüftung als SachbearbeiterIn in Solothurn
"Gebäudetechnikplaner im Bereich Sanitär, Heizung und Lüftung",tech.89.100,Gebäudetechnikplaner im Bereich Sanitär Heizung und Lüftung
Gebäudetechnikplaner/-innen Sanitär oder Heizung,tech.89.97,Gebäudetechnikplanerinnen Sanitär oder Heizung
Gebäudetechnikplaner HLKS (m/w) - Pensum 100 %,tech.89.100,Gebäudetechnikplaner HLKS Pensum 
Lernende/r Gebäudetechnikplaner/in EFZ Sanitär,tech.89.100,Lernender Gebäudetechnikplaner EFZ Sanitär
Lehrstelle als SanitärinstallateurIn EFZ,tech.89.97,Lehrstelle als SanitärinstallateurIn EFZ
Gebäudetechnikplaner:in Heizung | Lüftung | Sanitär,tech.89.100,Gebäudetechnikplaner Heizung Lüftung Sanitär
Projektleiter,admin.20.150,Projektleiter
Gebäudetechnikplaner*in Fachrichtung Sanitär oder Fachrichtung Lüftung/Klima,tech.89.97,Gebäudetechnikplaner Fachrichtung Sanitär oder Fachrichtung LüftungKlima
Lehrstelle als SanitärinstallateurIn EFZ,tech.89.97,Lehrstelle als SanitärinstallateurIn EFZ
Lernende/r Gebäudetechnikplaner/in EFZ Lüftung,tech.89.100,Lernender Gebäudetechnikplaner EFZ Lüftung
Fachplaner:in Sanitär,tech.89.97,Fachplaner Sanitär
Lehrstelle als Gebäudetechnikplaner/in EFZ (Lehrbeginn 2023),tech.89.100,Lehrstelle als Gebäudetechnikplaner EFZ Lehrbeginn 
eine Lehrstelle als Gebäudetechnikplaner/in Heizung EFZ,tech.89.100,eine Lehrstelle als Gebäudetechnikplaner Heizung EFZ
Lehrstelle Gebäudetechnikplaner/in Lüftung EFZ am Standort Bubikon,tech.89.100,Lehrstelle Gebäudetechnikplaner Lüftung EFZ am Standort Bubikon
Lernende*r Gebäudetechnikplaner*in Lüftung oder Sanitär (Lehrbeginn August 2022),tech.89.100,Lernender Gebäudetechnikplaner Lüftung oder Sanitär Lehrbeginn August 
Lehrstelle 2023: Gebäudetechnikplaner Heizung oder Lüftung EFZ bei LIER Energietechnik AG,admin.2.155,Lehrstelle Gebäudetechnikplaner Heizung oder Lüftung EFZ bei LIER Energietechnik AG
Lernende(r) Gebäudetechnikplaner*in Heizung EFZ per Sommer 2023,tech.89.100,Lernender Gebäudetechnikplaner Heizung EFZ per Sommer 
Lehrstelle als Gebäudetechnikplaner/-in EFZ in Fachrichtung Heizung oder Sanitär,tech.89.100,Lehrstelle als Gebäudetechnikplanerin EFZ in Fachrichtung Heizung oder Sanitär
ProjektleiterIn Heizung / Kälte,tech.89.100,ProjektleiterIn Heizung Kälte
ProjektleiterIn Heizung / Kälte,tech.89.100,ProjektleiterIn Heizung Kälte
ProjektleiterIn Heizung,tech.89.100,ProjektleiterIn Heizung
Projektleiter/-in Lüftung/Klima (80 - 100%),tech.89.100,Projektleiterin LüftungKlima 
Projektleiter*in Gebäudetechnik Lüftung,tech.72.79,Projektleiter Gebäudetechnik Lüftung
Projekleiter/in HLK (m/w),tech.89.100,Projekleiter HLK 
PROJEKTLEITER/IN | GEBÄUDETECHNIK,tech.72.79,PROJEKTLEITERIN GEBÄUDETECHNIK
Radiologiefachperson HF mit MR-Leitung,service.111.113,Radiologiefachperson HF mit MRLeitung
Sachbearbeiter Leistungen (m/w) 80 - 100%,admin.2.4,Sachbearbeiter Leistungen 
"Leistungsspezialist Krankentaggeld (w/m/d), 60%",admin.2.4,Leistungsspezialist Krankentaggeld 
Sachbearbeiter Leistungen International DE/EN w/m (80-100%),admin.2.4,Sachbearbeiter Leistungen International DEEN 
Dipl. Radiologiefachfrau/mann HF 100%,service.111.113,Dipl Radiologiefachfraumann HF 
Sozialarbeiter/-innen (HF/FH) 50-100 %,service.120.125,Sozialarbeiterinnen HFFH 
Sozialarbeiter*in Familienprofil,service.120.125,Sozialarbeiter Familienprofil
Sozialarbeiterin / Sozialarbeiter mit Fachteamverantwortung,service.120.124,Sozialarbeiterin Sozialarbeiter mit Fachteamverantwortung
Sozialarbeiter / Sozialarbeiterin in Ausbildung FH,service.120.125,Sozialarbeiter Sozialarbeiterin in Ausbildung FH
Teamleitung Sozialarbeit Migration,service.120.121,Teamleitung Sozialarbeit Migration
Sozialarbeiter FH/ Sozialarbeiterin FH 80%,service.120.125,Sozialarbeiter FH Sozialarbeiterin FH 
Leiter/in Regionales Beratungszentrum (80-100%),service.120.125,Leiter Regionales Beratungszentrum 
Mitarbeiter / Mitarbeiterin Sozialberatung in der Neurorehabilitation 60-80%,service.120.124,Mitarbeiter Mitarbeiterin Sozialberatung in der Neurorehabilitation 
Sozialarbeiter/in FH 80%-100%,service.120.125,Sozialarbeiter FH 
Sozialarbeiter*in HFS oder FH 40-60%,service.120.125,Sozialarbeiter HFS oder FH 
Sozialarbeiter/in FH 60 %,service.120.125,Sozialarbeiter FH 
Sozialarbeiterin / Sozialarbeiter 60-100%,service.120.125,Sozialarbeiterin Sozialarbeiter 
Sozialpädagoge / Sozialarbeiter BSc (Sozialpädagoge mit HF möglich) 80%,service.120.125,Sozialpädagoge Sozialarbeiter BSc Sozialpädagoge mit HF möglich 
"eine Praktikumsstelle (Vollzeitausbildung zum / zur SozialpädagogIn / SozialarbeiterIn, Anerkennungsjahr Universität Fribourg) mit einem Pensum von 100 % ab August 2023",service.120.125,eine Praktikumsstelle Vollzeitausbildung zum zur SozialpädagogIn SozialarbeiterIn Anerkennungsjahr Universität Fribourg mit einem Pensum von ab August 
"eine Praktikumsstelle (Vollzeitausbildung zum / zur SozialpädagogIn / SozialarbeiterIn, Anerkennungsjahr Universität Fribourg) mit einem Pensum 100 % ab August 2023",service.120.125,eine Praktikumsstelle Vollzeitausbildung zum zur SozialpädagogIn SozialarbeiterIn Anerkennungsjahr Universität Fribourg mit einem Pensum ab August 
Sozialarbeiterin / Sozialarbeiter 60 - 100 %,service.120.125,Sozialarbeiterin Sozialarbeiter 
Sozialarbeiter/in (80 - 100%),service.120.125,Sozialarbeiter 
"Sozialarbeiterin/​Sozialarbeiter (m/​w/​d) 80-100%, per 1. Oktober 2022 oder nach Vereinbarung",service.120.125,Sozialarbeiterin​Sozialarbeiter per Oktober oder nach Vereinbarung
Sozialarbeiter*in in Ausbildung FH,service.120.125,Sozialarbeiter in Ausbildung FH
"Sozialarbeiter/in FH, Bsc, BA oder Sozialarbeiter/in mit praktischer Erfahrung im Bereich der wirtschaftlichen Sozialhilfe (80 - 100%)",service.120.125,Sozialarbeiter FH Bsc BA oder Sozialarbeiter mit praktischer Erfahrung im Bereich der wirtschaftlichen Sozialhilfe 
Mehrere Zivildienstleistende oder Studierende - Operatoren für Dateneingabe,tech.89.94,Mehrere Zivildienstleistende oder Studierende Operatoren für Dateneingabe
Metallbauer / Schlosser,tech.81.86,Metallbauer Schlosser
Möbelmonteur/in mit Führerausweis Kat. B/E 100%,admin.35.38,Möbelmonteur mit Führerausweis Kat BE 
Lehrstelle als Fachmann Betriebsunterhalt EFZ 2023,tech.81.86,Lehrstelle als Fachmann Betriebsunterhalt EFZ 
"Zwei SNF-Doktoranden:innen Soziologie, je 100%",service.120.122,Zwei SNFDoktorandennen Soziologie je 
"Mitarbeiter/in Fachsekretariat Berufsbildung, 40-80 %",admin.2.3,Mitarbeiter Fachsekretariat Berufsbildung 
Praktikantinnen / Praktikanten Wohnhaus auf der Rüti 100%,service.111.116,Praktikantinnen Praktikanten Wohnhaus auf der Rüti 
Fachmann/Fachfrau Gesundheit EFZ Wohnhaus Niederfelben 70-100%,service.111.116,FachmannFachfrau Gesundheit EFZ Wohnhaus Niederfelben 
Fachmann/Fachfrau Gesundheit EFZ A1 Wohnhaus auf der Rüti 70-100%,service.111.116,FachmannFachfrau Gesundheit EFZ A Wohnhaus auf der Rüti 
Fachmann/Fachfrau Gesundheit oder Betreuung EFZ C1 Wohnhaus auf der Rüti 70-100%,service.111.116,FachmannFachfrau Gesundheit oder Betreuung EFZ C Wohnhaus auf der Rüti 
Gruppenleiter (Lehrlingsverantwortliche/r) 100% / m/w/d,tech.81.76,Gruppenleiter Lehrlingsverantwortlicher 
Sachbearbeiterin / Sachbearbeiter Berufsbildung 50%,service.111.113,Sachbearbeiterin Sachbearbeiter Berufsbildung 
Lehrstelle als Fachfrau/Fachmann Gesundheit (EFZ),service.111.115,Lehrstelle als FachfrauFachmann Gesundheit EFZ
Lehrstelle Mediamatiker*in EFZ,tech.53.55,Lehrstelle Mediamatiker EFZ
Weiterbildungsplätze zur:zum Dipl. Expertin:Experte Intensivpflege Pädiatrie 100% | befristet,service.111.115,Weiterbildungsplätze zurzum Dipl ExpertinExperte Intensivpflege Pädiatrie befristet
Weiterbildungsplätze zur Dipl. Expertin/zum Dipl. Experten Anästhesiepflege NDS HF 80% - 100% | befristet,service.111.115,Weiterbildungsplätze zur Dipl Expertinzum Dipl Experten Anästhesiepflege NDS HF befristet
Praktikant:in Krankenpflege 100% | befristet,service.111.115,Praktikant Krankenpflege befristet
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
"Lehre als Kauffrau / Kaufmann EFZ (B-, E- oder M-Profil)",admin.2.155,Lehre als Kauffrau Kaufmann EFZ B E oder MProfil
Hochschulpraktikantin / Hochschulpraktikanten 80-100%,service.120.123,Hochschulpraktikantin Hochschulpraktikanten 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
"Lehrstelle als Kauffrau oder Kaufmann EFZ, Branche Öffentliche Verwaltung",admin.2.155,Lehrstelle als Kauffrau oder Kaufmann EFZ Branche Öffentliche Verwaltung
Doktorand:in / Wissenschaftliche:r Mitarbeiter:in VWL 80-90%,service.120.122,Doktorand Wissenschaftlicher Mitarbeiter VWL 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Lehrstelle als Buchhaendler:in EFZ mit Lehrbeginn 2023,admin.45.47,Lehrstelle als Buchhaendler EFZ mit Lehrbeginn 
Ausbildung als Fachmann/-frau Gesundheit EFZ ab August 2023,service.111.115,Ausbildung als Fachmannfrau Gesundheit EFZ ab August 
Lehrstelle als Kauffrau / Kaufmann EFZ (öffentliche Verwaltung - Arbeitsort Herisau),admin.2.155,Lehrstelle als Kauffrau Kaufmann EFZ öffentliche Verwaltung Arbeitsort Herisau
LEHRSTELLE 2023 RESTAURANTFACHFRAU / RESTAURANTFACHMANN EFZ,service.126.127,LEHRSTELLE RESTAURANTFACHFRAU RESTAURANTFACHMANN EFZ
Baumaschinenmechaniker/-in EFZ,tech.89.94,Baumaschinenmechanikerin EFZ
Informatikerin / Informatiker Systemtechnik EFZ,tech.53.60,Informatikerin Informatiker Systemtechnik EFZ
Diätköchin / Diätkoch EFZ & Berufsbildnerin / Berufsbildner 100%,service.126.128,Diätköchin Diätkoch EFZ Berufsbildnerin Berufsbildner 
Berufsbildner/In Polymechaniker/In EFZ 100% (w/m),tech.81.76,Berufsbildner Polymechaniker EFZ 
Leitung Personal 100%,admin.2.4,Leitung Personal 
Spezialist Berufsbildung Detailhandel (m/w/d) 80-100%,admin.2.4,Spezialist Berufsbildung Detailhandel 
"Leitung Arbeitsgruppe Holzwerkstatt, 80%",service.120.2033,Leitung Arbeitsgruppe Holzwerkstatt 
Kauffrau / Kaufmann EFZ - Lehrstelle 2023,admin.2.155,Kauffrau Kaufmann EFZ Lehrstelle 
"Lehrstelle als Kauffrau/-mann EFZ Fachrichtung D&A ab 1. August 2023, Kramer Gastronomie AG",admin.2.155,Lehrstelle als Kauffraumann EFZ Fachrichtung DA ab August Kramer Gastronomie AG
Lehre Gebäudetechnikplaner/in EFZ Sanitär,tech.89.100,Lehre Gebäudetechnikplaner EFZ Sanitär
Polymechanikerin / Polymechaniker EFZ,tech.81.76,Polymechanikerin Polymechaniker EFZ
Fachfrau/Fachmann Gesundheit als Berufsbildner/in Spitex 80% - 100%,service.111.115,FachfrauFachmann Gesundheit als Berufsbildner Spitex 
Lehrstelle ab August 2024 als Konstrukteur (m/w),tech.81.84,Lehrstelle ab August als Konstrukteur 
Lehrstelle als Fachfrau/Fachmann Betriebsunterhalt EFZ (Fachrichtung Werkdienst - Arbeitsort Werkhof Heiden),service.120.121,Lehrstelle als FachfrauFachmann Betriebsunterhalt EFZ Fachrichtung Werkdienst Arbeitsort Werkhof Heiden
Lehrstelle als Fachfrau/Fachmann Betriebsunterhalt EFZ (Fachrichtung Werkdienst - Arbeitsort Werkhof Herisau),service.120.121,Lehrstelle als FachfrauFachmann Betriebsunterhalt EFZ Fachrichtung Werkdienst Arbeitsort Werkhof Herisau
Dipl. Pflegefachfrau:mann HF oder Fachfrau:mann Gesundheit EFZ mit Zusatzfunktion Berufsbildner:in 80%,admin.2.4,Dipl Pflegefachfraumann HF oder Fachfraumann Gesundheit EFZ mit Zusatzfunktion Berufsbildner 
Lehrstelle als Zeichner/in EFZ Fachrichtung Ingenieurbau,tech.81.84,Lehrstelle als Zeichner EFZ Fachrichtung Ingenieurbau
Dringend Metallbauer / Anlagen- und Apparatebauer (m/w) - Super Lohn!,tech.101.104,Dringend Metallbauer Anlagen und Apparatebauer Super Lohn
Dringend Schreiner / Zimmerleute (m/w) gesucht - Super Lohn!,tech.101.105,Dringend Schreiner Zimmerleute gesucht Super Lohn
Metallbauer / Anlagen- und Apparatebauer - TOP LOHN!,tech.101.104,Metallbauer Anlagen und Apparatebauer TOP LOHN
Landschaftsgärtner / Gartenbauarbeiter - TOP LOHN!,tech.89.92,Landschaftsgärtner Gartenbauarbeiter TOP LOHN
"Polymechaniker, Automatiker, Anlagen- und Apparatebauer gesucht - TOP LOHN!",tech.81.86,Polymechaniker Automatiker Anlagen und Apparatebauer gesucht TOP LOHN
CAD Planner (m/w),tech.81.84,CAD Planner 
Dringend Maler / Gipser (m/w) gesucht - Super Lohn!,tech.89.94,Dringend Maler Gipser gesucht Super Lohn
Senior Laboratory Technician QC Microbiology // Johnson & Johnson,tech.66.68,Senior Laboratory Technician QC Microbiology Johnson Johnson
(Key) Account Manager Sales & Recruiting (m/w/d),admin.2.5,Key Account Manager Sales Recruiting 
Account Coordinator,admin.20.150,Account Coordinator
Apotheker (w/m),tech.66.67,Apotheker 
Reinigungsmitarbeiter/in,tech.101.19,Reinigungsmitarbeiter
Verkaufs-/Marketingleiter Industrie (w/m/d),admin.40.41,VerkaufsMarketingleiter Industrie 
Jr. Software Engineer PHP(m/w),tech.53.56,Jr Software Engineer PHP
Juristische/n Volontär/in (100%),admin.2.7,Juristischen Volontär 
"Polymechaniker, Automatiker, Anlagen- und Apparatebauer - TOP LOHN!",tech.81.76,Polymechaniker Automatiker Anlagen und Apparatebauer TOP LOHN
Landschaftsgärtner / Gartenbauarbeiter (m/w) gesucht - Super Lohn!,tech.89.92,Landschaftsgärtner Gartenbauarbeiter gesucht Super Lohn
"Dringend Elektroinstallateure, Montage-Elektriker oder Automatiker (m/w) gesucht - Super Lohn!",tech.72.73,Dringend Elektroinstallateure MontageElektriker oder Automatiker gesucht Super Lohn
Schreiner / Zimmerleute - TOP LOHN!,tech.101.105,Schreiner Zimmerleute TOP LOHN
Elektroinstallateure / Montage-Elektriker - TOP LOHN!,tech.72.73,Elektroinstallateure MontageElektriker TOP LOHN
IT Projektleiter Sharepoint (m/w) 100% [Ref:2154],tech.53.2029,IT Projektleiter Sharepoint Ref
Praktikum Praxisintegriertes Bachelor-Studium (PiBS) in Informatik (w/m/d),tech.53.59,Praktikum Praxisintegriertes BachelorStudium PiBS in Informatik 
Treuhand-TeamleiterIn 60-100% D/E mit Weiterbildung,admin.9.17,TreuhandTeamleiterIn DE mit Weiterbildung
Projektleiter/in Marketing und Events (80-100%),admin.40.41,Projektleiter Marketing und Events 
Logopädin / Logopäde 40% - 100%,service.120.124,Logopädin Logopäde 
SAP Consultant Master Data Management/ Master Data Governance (w/m/d),tech.53.58,SAP Consultant Master Data Management Master Data Governance 
Graduate Laboratory Technician QC Microbiology // Johnson & Johnson,tech.66.68,Graduate Laboratory Technician QC Microbiology Johnson Johnson
Dozent oder Dozentin (80-100%),service.120.123,Dozent oder Dozentin 
Entwicklungsingenieur Maschinenbau (m/w) 100%,tech.81.84,Entwicklungsingenieur Maschinenbau 
Metallbauer / Anlagen- und Apparatebauer - TOP LOHN!,tech.101.104,Metallbauer Anlagen und Apparatebauer TOP LOHN
Consultant en Recrutement Life Science,admin.2.5,Consultant en Recrutement Life Science
Projektleiter:in Verpackungsentwicklung,tech.66.69,Projektleiter Verpackungsentwicklung
Spezialreiniger (m/w/d) 100%,service.126.127,Spezialreiniger 
TeamleiterIN Treuhand D/E mit Weiterbildung,admin.9.17,TeamleiterIN Treuhand DE mit Weiterbildung
Sachbearbeiter Verkaufsinnendienst (m/w/d),admin.45.49,Sachbearbeiter Verkaufsinnendienst 
ICT Monitoring Specialist 100% (m/w),tech.53.2029,ICT Monitoring Specialist 
"Pflegeexpertin / Pflegeexperte, Pensum 50 - 60 %",service.111.115,Pflegeexpertin Pflegeexperte Pensum 
Gastgeber 100% (m/w),service.126.127,Gastgeber 
Mitarbeiter*innen Scan-Center,admin.9.16,Mitarbeiternen ScanCenter
Educateur-trice en classe relais,service.120.125,Educateurtrice en classe relais
Consultant en Recrutement Life Science,admin.2.5,Consultant en Recrutement Life Science
Data Analyst BI (h/f),tech.53.55,Data Analyst BI hf
kaufmännische Mitarbeiterin / Sachbearbeiterin Anzeigenmarketing 100% (m/w/d),admin.45.49,kaufmännische Mitarbeiterin Sachbearbeiterin Anzeigenmarketing 
Responsable Ateliers Assemblage Mouvements,tech.72.75,Responsable Ateliers Assemblage Mouvements
BUSINESS APPLICATION ENGINEER (M/W/D) 80-100 %,tech.53.56,BUSINESS APPLICATION ENGINEER 
Business Analyst Senior (h/f),tech.53.55,Business Analyst Senior hf
"Kundendienst, 100%",admin.45.49,Kundendienst 
Fachspezialist/in Licht Aussendienst,admin.45.2026,Fachspezialist Licht Aussendienst
Mitarbeiter/in Auftragscenter/AVOR 100%,admin.45.49,Mitarbeiter AuftragscenterAVOR 
Biomedizinische/n Analytiker/in HF (100%),service.111.1282,Biomedizinischen Analytiker HF 
Serviceleiter/-in Audi 100%,admin.45.50,Serviceleiterin Audi 
Haustechnikplaner EFZ gesucht,tech.89.100,Haustechnikplaner EFZ gesucht
Sanitärinstallateur EFZ (m/w/d) 100%,tech.89.97,Sanitärinstallateur EFZ 
(Senior) .NET Software Engineer (m/w/d),tech.53.58,Senior NET Software Engineer 
Bauleitende Monteure Fernwärme/Fernkälte,tech.89.74,Bauleitende Monteure FernwärmeFernkälte
Projektleiter Fernwärme/Fernkälte,tech.89.100,Projektleiter FernwärmeFernkälte
Projektleiter/in,admin.20.150,Projektleiter
Wissenschaftliche*r Mitarbeiter*in mit Dozierendentätigkeit,service.120.122,Wissenschaftlicher Mitarbeiter mit Dozierendentätigkeit
CRM Specialist (m/w/d) 100%,admin.40.41,CRM Specialist 
Service - & Barmitarbeiter:in,service.126.129,Service Barmitarbeiter
Arbeitsmarktinspektorin / Arbeitsmarktinspektor 100 %,service.120.121,Arbeitsmarktinspektorin Arbeitsmarktinspektor 
Checkport Schweiz AG: Mitarbeitende für die Dokumenten-Kontrolle & Aviation Support Services,tech.101.109,Checkport Schweiz AG Mitarbeitende für die DokumentenKontrolle Aviation Support Services
Arbeitsmarktinspektor/in,admin.2.155,Arbeitsmarktinspektor
Berufsbildungsverantwortliche:r Expert:in NDS Notfallfplege 80% - 100%,admin.2.4,Berufsbildungsverantwortlicher Expert NDS Notfallfplege 
Praktikant/in Logistik und serielle Arbeiten 80 - 100 %,admin.35.38,Praktikant Logistik und serielle Arbeiten 
Allrounder*in / Arbeitsagog*in 75%,admin.2.3,Allrounder Arbeitsagog 
Sachbearbeiter Buchhaltung/Finanzen 60 %,admin.2.155,Sachbearbeiter BuchhaltungFinanzen 
Schulleiter/in 50%,service.120.121,Schulleiter 
Key Account Specialist (m/f/d)? Abbott ADC - Romandie,admin.45.156,Key Account Specialist Abbott ADC Romandie
Technicien de service automation d'emballage,tech.81.83,Technicien de service automation demballage
Geschäftsführer/in im Gesundheitswesen,admin.2.154,Geschäftsführer im Gesundheitswesen
Principal Sales Executive,admin.45.48,Principal Sales Executive
Dipl. Naturheilpraktiker AM (Tuina-Akupunktur),service.111.118,Dipl Naturheilpraktiker AM TuinaAkupunktur
Senior Consultant - GxP Compliance & Computer System Validation (100 %) (w/m/d),admin.2.6,Senior Consultant GxP Compliance Computer System Validation 
Dipl. Rettungssanitäter/-in HF (W/M) Voll- und Teilzeit,service.140.143,Dipl Rettungssanitäterin HF WM Voll und Teilzeit
Praktikum im Krankentransport (100%),service.140.143,Praktikum im Krankentransport 
Transportsanitäter/in / dipl. Rettungssanitäter/in 50-100%,service.111.115,Transportsanitäter dipl Rettungssanitäter 
Dipl. Rettungssanitäter/in HF 60-100%,service.111.115,Dipl Rettungssanitäter HF 
Naturheilpraktiker,service.111.118,Naturheilpraktiker
Dipl. Rettungssanitäter/in mit Weiterbildung zur/zum Experten/in Anästhesiepflege,service.111.115,Dipl Rettungssanitäter mit Weiterbildung zurzum Experten Anästhesiepflege
Dipl. Rettungssanitäter/in 70-100%,service.140.143,Dipl Rettungssanitäter 
Dipl. Rettungssanitäter/in HF 100% als Stv. Leitung Rettungsdienst,service.111.115,Dipl Rettungssanitäter HF als Stv Leitung Rettungsdienst
Rettungssanitäter/in HF 100%,service.111.115,Rettungssanitäter HF 
dipl. Rettungssanitäter/in HF,service.140.143,dipl Rettungssanitäter HF
dipl. Rettungssanitäterin / Rettungssanitäter 60 - 100 %,service.140.143,dipl Rettungssanitäterin Rettungssanitäter 
Transportsanitäter/in FA (100%),service.140.143,Transportsanitäter FA 
Transportsanitäter/in / dipl. Rettungssanitäter/in 50-100%,service.140.143,Transportsanitäter dipl Rettungssanitäter 
"Dipl. Rettungssanitäter/-in HF 60-100%, Transportsanitäter/-in FA 60-100 %",service.140.143,Dipl Rettungssanitäterin HF Transportsanitäterin FA 
Dipl. Rettungssanitäter/in HF/Niveau HF,service.140.143,Dipl Rettungssanitäter HFNiveau HF
Junior Mitarbeiterin / Mitarbeiter Steuern,admin.9.16,Junior Mitarbeiterin Mitarbeiter Steuern
Executive Assistant (M/F),admin.2.2022,Executive Assistant MF
Store Leader Assistant (f/m/d) / Einkaufszentrum Herblinger Markt 80-100%,admin.45.47,Store Leader Assistant Einkaufszentrum Herblinger Markt 
Personalsachbearbeiter*in,admin.2.4,Personalsachbearbeiter
Personalsachbearbeiter/in 100%,admin.2.4,Personalsachbearbeiter 
Projektassistent/in (w/m/d) 80-100%,admin.20.150,Projektassistent 
Éducateurs-trices tertiaires à 100% Pop et poppa,service.120.125,Éducateurstrices tertiaires à Pop et poppa
Technischer Sachbearbeiter Verkaufsinnendienst international 100% (m/w/d),admin.45.49,Technischer Sachbearbeiter Verkaufsinnendienst international 
Technischer Sachbearbeiter Kundendienst 100% (m/w/d),tech.81.85,Technischer Sachbearbeiter Kundendienst 
Technische/-r Sachbearbeiter/-in Auftragsabwicklung 100% (w/m/d),admin.45.49,Technischer Sachbearbeiterin Auftragsabwicklung 
Technischer Sachbearbeiter / Einsatzplanung (M/W/D),tech.72.2032,Technischer Sachbearbeiter Einsatzplanung 
Technischer Sachbearbeiter Ersatzteilvertrieb 100% (m/w/d),admin.45.49,Technischer Sachbearbeiter Ersatzteilvertrieb 
Verkaufs- und Projektleiter Bereich Landwirtschaft,admin.20.150,Verkaufs und Projektleiter Bereich Landwirtschaft
Technischer Sachbearbeiter Verkaufsinnendienst international 100% (m/w/d),tech.72.2032,Technischer Sachbearbeiter Verkaufsinnendienst international 
Techn. Sachbearbeiter/in Auftragsabwicklung,tech.72.2032,Techn Sachbearbeiter Auftragsabwicklung
Kaufmännischer/technischer Sachbearbeiter (m/w/d),tech.72.2032,Kaufmännischertechnischer Sachbearbeiter 
Technischer Sachbearbeiter Ersatzteilvertrieb 100% (m/w/d),tech.72.2032,Technischer Sachbearbeiter Ersatzteilvertrieb 
Technical Clerk 100 %,tech.72.2032,Technical Clerk 
Technischer Sachbearbeiter (m/w) 80-100%,admin.45.49,Technischer Sachbearbeiter 
Internationaler Technischer Sachbearbeiter (m/w) 100%,admin.45.48,Internationaler Technischer Sachbearbeiter 
Techn. Sachbearbeiter/in (100%) Standort Bern,tech.89.93,Techn Sachbearbeiter Standort Bern
Technischer Sachbearbeiter 80-100% (m/w),admin.45.49,Technischer Sachbearbeiter 
Technischer Sachbearbeiter (m/w) 100%,admin.45.48,Technischer Sachbearbeiter 
"Technischer Sachbearbeiter, Customer Service",admin.20.27,Technischer Sachbearbeiter Customer Service
Technischer Sachbearbeiter 80 - 100%,tech.72.2032,Technischer Sachbearbeiter 
